REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWASDOMXX01,30.0
GLOBAL,PWRWASECUXX01,30.0
GLOBAL,PWRWASGTMXX01,30.0
GLOBAL,PWRWASHNDXX01,30.0
GLOBAL,PWRWASHTIXX01,30.0
GLOBAL,PWRWASJAMXX01,30.0
GLOBAL,PWRWASMEXXX01,30.0
GLOBAL,PWRWASNICXX01,30.0
GLOBAL,PWRWASPANXX01,30.0
GLOBAL,PWRWASPERXX01,30.0
GLOBAL,PWRWASPRYXX01,30.0
GLOBAL,PWRWASSLVXX01,30.0
GLOBAL,PWRWASURYXX01,30.0
GLOBAL,PWRWAVARGXX01,20.0
GLOBAL,PWRWAVBOLXX01,20.0
GLOBAL,PWRWAVBRAXX01,20.0
GLOBAL,PWRWAVCHLXX01,20.0
GLOBAL,PWRWAVCOLXX01,20.0
GLOBAL,PWRWAVCRIXX01,20.0
GLOBAL,PWRWAVDOMXX01,20.0
GLOBAL,PWRWAVECUXX01,20.0
GLOBAL,PWRWAVGTMXX01,20.0
GLOBAL,PWRWAVHNDXX01,20.0
GLOBAL,PWRWAVHTIXX01,20.0
GLOBAL,PWRWAVJAMXX01,20.0
GLOBAL,PWRWAVMEXXX01,20.0
GLOBAL,PWRWAVNICXX01,20.0
GLOBAL,PWRWAVPANXX01,20.0
GLOBAL,PWRWAVPERXX01,20.0
GLOBAL,PWRWAVPRYXX01,20.0
GLOBAL,PWRWAVSLVXX01,20.0
GLOBAL,PWRWAVURYXX01,20.0
GLOBAL,PWRWOFARGXX01,30.0
GLOBAL,PWRWOFBOLXX01,30.0
GLOBAL,PWRWOFBRAXX01,30.0
GLOBAL,PWRWOFCHLXX01,30.0
GLOBAL,PWRWOFCOLXX01,30.0
GLOBAL,PWRWOFCRIXX01,30.0
GLOBAL,PWRWOFDOMXX01,30.0
GLOBAL,PWRWOFECUXX01,30.0
GLOBAL,PWRWOFGTMXX01,30.0
GLOBAL,PWRWOFHNDXX01,30.0
GLOBAL,PWRWOFHTIXX01,30.0
GLOBAL,PWRWOFJAMXX01,30.0
GLOBAL,PWRWOFMEXXX01,30.0
GLOBAL,PWRWOFNICXX01,30.0
GLOBAL,PWRWOFPANXX01,30.0
GLOBAL,PWRWOFPERXX01,30.0
GLOBAL,PWRWOFPRYXX01,30.0
GLOBAL,PWRWOFSLVXX01,30.0
GLOBAL,PWRWOFURYXX01,30.0
GLOBAL,PWRWONARGXX01,30.0
GLOBAL,PWRWONBOLXX01,30.0
GLOBAL,PWRWONBRAXX01,30.0
GLOBAL,PWRWONCHLXX01,30.0
GLOBAL,PWRWONCOLXX01,30.0
GLOBAL,PWRWONCRIXX01,30.0
GLOBAL,PWRWONDOMXX01,30.0
GLOBAL,PWRWONECUXX01,30.0
GLOBAL,PWRWONGTMXX01,30.0
GLOBAL,PWRWONHNDXX01,30.0
GLOBAL,PWRWONHTIXX01,30.0
GLOBAL,PWRWONJAMXX01,30.0
GLOBAL,PWRWONMEXXX01,30.0
GLOBAL,PWRWONNICXX01,30.0
GLOBAL,PWRWONPANXX01,30.0
GLOBAL,PWRWONPERXX01,30.0
GLOBAL,PWRWONPRYXX01,30.0
GLOBAL,PWRWONSLVXX01,30.0
GLOBAL,PWRWONURYXX01,30.0
GLOBAL,RNWNLIARGXX,50.0
GLOBAL,RNWNLIBOLXX,50.0
GLOBAL,RNWNLIBRAXX,50.0
GLOBAL,RNWNLICHLXX,50.0
GLOBAL,RNWNLICOLXX,50.0
GLOBAL,RNWNLICRIXX,50.0
GLOBAL,RNWNLIDOMXX,50.0
GLOBAL,RNWNLIECUXX,50.0
GLOBAL,RNWNLIGTMXX,50.0
GLOBAL,RNWNLIHNDXX,50.0
GLOBAL,RNWNLIHTIXX,50.0
GLOBAL,RNWNLIJAMXX,50.0
GLOBAL,RNWNLIMEXXX,50.0
GLOBAL,RNWNLINICXX,50.0
GLOBAL,RNWNLIPANXX,50.0
GLOBAL,RNWNLIPERXX,50.0
GLOBAL,RNWNLIPRYXX,50.0
GLOBAL,RNWNLISLVXX,50.0
GLOBAL,RNWNLIURYXX,50.0
GLOBAL,RNWRPOARGXX,20.0
GLOBAL,RNWRPOBOLXX,20.0
GLOBAL,RNWRPOBRAXX,20.0
GLOBAL,RNWRPOCHLXX,20.0
GLOBAL,RNWRPOCOLXX,20.0
GLOBAL,RNWRPOCRIXX,20.0
GLOBAL,RNWRPODOMXX,20.0
GLOBAL,RNWRPOECUXX,20.0
GLOBAL,RNWRPOGTMXX,20.0
